Player,URL,Year,Team,ERA,WHIP,W,L,SV,H,BSV,G,GS,CG(SHO),QS,TBF,NP,IP,R,ER,H,2B,3B,HR,SO,BB,IBB,HB,WP,BK
William Cuevas,https://mykbostats.com/players/1862,2025,KT,5.88,1.61,2,4,0,0,0,11,11,0 (0),5,271,972,59 ⅔,40,39,69,9,1,10,33,27,0,3,2,0
William Cuevas,https://mykbostats.com/players/1862,2024,KT,4.10,1.25,7,12,0,0,0,31,33,0 (0),19,737,2856,173 ⅓,86,79,158,36,3,17,154,59,4,7,11,1
William Cuevas,https://mykbostats.com/players/1862,2023,KT,2.60,1.04,12,0,0,0,0,18,18,0 (0),14,460,1666,114 ⅓,33,33,95,10,2,4,100,24,1,2,5,0
William Cuevas,https://mykbostats.com/players/1862,2022,KT,2.45,0.64,1,0,0,0,0,2,2,0 (0),1,40,167,11,3,3,2,0,0,1,8,5,0,1,2,0
William Cuevas,https://mykbostats.com/players/1862,2021,KT,4.12,1.37,9,5,0,0,0,23,23,1 (1),11,580,2191,133 ⅓,68,61,131,21,3,11,137,51,0,3,6,0
William Cuevas,https://mykbostats.com/players/1862,2020,KT,4.10,1.25,10,8,0,0,0,27,27,0 (0),14,668,2518,158,80,72,152,26,1,16,110,46,0,9,4,0
William Cuevas,https://mykbostats.com/players/1862,2019,KT,3.62,1.17,13,10,0,0,0,30,30,0 (0),18,760,2896,184,80,74,153,21,6,18,135,63,0,12,4,0
William Cuevas,https://mykbostats.com/players/1862,Career,,3.90,1.24,54,39,0,0,,142,,1 (1),,3516,,833 ⅔,390,361,760,,,77,677,275,,37,,
Kim Yeon-ju,https://mykbostats.com/players/2613,2025,Kiwoom,5.11,1.54,1,1,0,0,0,10,3,0 (0),0,113,435,24 ⅔,14,14,28,4,1,2,15,10,0,4,0,0
Kim Yeon-ju,https://mykbostats.com/players/2613,2024,Kiwoom,6.61,1.63,1,1,0,1,2,34,0,0 (0),0,148,576,31 ⅓,24,23,34,10,0,5,18,17,1,5,2,0
Kim Yeon-ju,https://mykbostats.com/players/2613,Career,,5.95,1.59,2,2,0,1,,44,,0 (0),,261,,56,38,37,62,,,7,33,27,,9,,
Yang Hyeon-jong,https://mykbostats.com/players/298,2025,Kia,4.61,1.52,3,4,0,0,0,10,10,0 (0),4,240,862,54 ⅔,33,28,59,12,2,3,42,24,0,2,3,0
Yang Hyeon-jong,https://mykbostats.com/players/298,2024,Kia,4.10,1.25,11,5,0,0,0,29,31,3 (0),15,727,2620,171 ⅓,86,78,174,37,6,21,129,41,0,6,2,0
Yang Hyeon-jong,https://mykbostats.com/players/298,2023,Kia,3.58,1.34,9,11,0,0,0,29,29,0 (0),14,729,2751,171,78,68,181,33,1,13,133,48,1,1,5,0
Yang Hyeon-jong,https://mykbostats.com/players/298,2022,Kia,3.85,1.25,12,7,0,0,0,30,30,0 (0),16,743,2856,175 ⅓,86,75,170,33,3,14,141,50,1,3,3,0
Yang Hyeon-jong,https://mykbostats.com/players/298,2020,Kia,4.70,1.42,11,10,0,0,0,31,31,0 (0),15,746,2950,172 ⅓,99,90,180,40,4,13,149,64,0,5,7,0
Yang Hyeon-jong,https://mykbostats.com/players/298,2019,Kia,2.29,1.07,16,8,0,0,0,29,29,2 (2),22,731,2699,184 ⅔,56,47,165,32,1,6,163,33,0,2,1,0
Yang Hyeon-jong,https://mykbostats.com/players/298,2018,Kia,4.15,1.31,13,11,0,0,0,29,29,3 (0),17,772,2883,184 ⅓,88,85,199,33,0,21,152,43,1,2,5,0
Yang Hyeon-jong,https://mykbostats.com/players/298,2017,Kia,3.44,1.31,20,6,0,0,0,31,31,1 (0),20,808,3085,193 ⅓,88,74,209,32,2,17,158,45,0,0,14,0
Yang Hyeon-jong,https://mykbostats.com/players/298,2016,Kia,3.68,1.34,10,12,0,0,0,31,31,3 (0),22,850,3207,200 ⅓,96,82,191,31,2,19,146,77,0,2,6,2
Yang Hyeon-jong,https://mykbostats.com/players/298,2015,Kia,2.44,1.24,15,6,0,1,0,32,31,1 (1),19,756,3041,184 ⅓,52,50,150,27,2,18,157,78,0,7,6,0
Yang Hyeon-jong,https://mykbostats.com/players/298,2014,Kia,4.25,1.39,16,8,0,0,0,29,28,0 (0),17,732,2878,171 ⅓,85,81,162,30,6,12,165,77,1,4,5,0
Yang Hyeon-jong,https://mykbostats.com/players/298,2013,Kia,3.10,1.36,9,3,0,0,0,19,,1 (0),9,443,1732,104 ⅔,38,36,99,14,1,10,95,43,0,6,3,1
Yang Hyeon-jong,https://mykbostats.com/players/298,2012,Kia,5.05,2.00,1,2,0,2,,28,,0 (0),,201,,41,25,23,51,,,3,26,31,,4,,
Yang Hyeon-jong,https://mykbostats.com/players/298,2011,Kia,6.18,1.74,7,9,0,0,,28,,1 (0),,492,,106 ⅓,74,73,116,,,9,74,69,,4,,
Yang Hyeon-jong,https://mykbostats.com/players/298,2010,Kia,4.25,1.58,16,8,0,0,,30,,1 (1),,748,,169 ⅓,84,80,169,,,9,145,98,,6,,
Yang Hyeon-jong,https://mykbostats.com/players/298,2009,Kia,3.15,1.28,12,5,0,1,,29,,0 (0),,627,,148 ⅔,55,52,133,,,14,139,58,,2,,
Yang Hyeon-jong,https://mykbostats.com/players/298,2008,Kia,5.83,1.65,0,5,0,5,,48,,0 (0),,340,,75 ⅔,49,49,77,,,4,56,48,,1,,
Yang Hyeon-jong,https://mykbostats.com/players/298,2007,Kia,4.17,1.41,1,2,0,0,,31,,0 (0),,217,,49 ⅔,24,23,39,,,7,48,31,,2,,
Yang Hyeon-jong,https://mykbostats.com/players/298,Career,,3.85,1.36,182,122,0,9,,523,,16 (4),,10902,,2558 ⅓,1196,1094,2524,,,213,2118,958,,59,,
