Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
166.0,Brooks Baldwin#,24.0,CHW,AL,-0.5,30.0,102.0,94.0,6.0,22.0,5.0,0.0,3.0,14.0,2.0,0.0,5.0,28.0,0.234,0.27,0.383,0.653,87.0,0.288,80.0,36.0,3.0,0.0,2.0,1.0,0.0,67/49H85,
167.0,Brenton Doyle,27.0,COL,NL,0.4,24.0,102.0,93.0,11.0,22.0,4.0,0.0,4.0,15.0,3.0,0.0,8.0,24.0,0.237,0.294,0.409,0.703,89.0,0.323,88.0,38.0,1.0,0.0,0.0,1.0,0.0,*8/H,
168.0,Christopher Morel,26.0,TBR,AL,0.1,29.0,102.0,92.0,12.0,22.0,6.0,0.0,3.0,11.0,2.0,1.0,9.0,40.0,0.239,0.314,0.402,0.716,105.0,0.334,115.0,37.0,2.0,1.0,0.0,0.0,0.0,*7/H,
169.0,Harrison Bader,31.0,MIN,AL,1.1,31.0,101.0,90.0,11.0,25.0,3.0,0.0,3.0,13.0,2.0,2.0,8.0,26.0,0.278,0.356,0.411,0.768,117.0,0.34,120.0,37.0,1.0,3.0,0.0,0.0,0.0,*7/89H,
170.0,Alejandro Kirk,26.0,TOR,AL,-0.1,25.0,101.0,96.0,5.0,25.0,3.0,0.0,2.0,12.0,0.0,0.0,3.0,14.0,0.26,0.287,0.354,0.641,84.0,0.283,78.0,34.0,6.0,1.0,0.0,1.0,0.0,*2/D,
171.0,Wyatt Langford,23.0,TEX,AL,1.4,24.0,100.0,88.0,10.0,26.0,5.0,0.0,6.0,12.0,4.0,2.0,10.0,20.0,0.295,0.37,0.557,0.927,167.0,0.396,165.0,49.0,3.0,1.0,0.0,1.0,0.0,*7,
172.0,Logan O'Hoppe,25.0,LAA,AL,0.5,27.0,100.0,96.0,12.0,27.0,1.0,0.0,9.0,15.0,0.0,0.0,4.0,34.0,0.281,0.31,0.573,0.883,145.0,0.388,153.0,55.0,1.0,0.0,0.0,0.0,0.0,*2/HD,
173.0,Joey Bart,28.0,PIT,NL,0.3,25.0,99.0,81.0,6.0,22.0,3.0,1.0,1.0,7.0,1.0,0.0,15.0,28.0,0.272,0.404,0.37,0.774,119.0,0.36,124.0,30.0,4.0,3.0,0.0,0.0,0.0,*2/H,
174.0,Gavin Sheets*,29.0,SDP,NL,0.3,29.0,99.0,89.0,11.0,25.0,4.0,0.0,4.0,14.0,1.0,0.0,8.0,27.0,0.281,0.343,0.461,0.804,125.0,0.351,120.0,41.0,2.0,1.0,0.0,1.0,0.0,D/H37,
175.0,Pavin Smith*,29.0,ARI,NL,1.0,30.0,99.0,79.0,17.0,25.0,9.0,0.0,4.0,9.0,1.0,0.0,20.0,30.0,0.316,0.455,0.582,1.037,188.0,0.459,195.0,46.0,4.0,0.0,0.0,0.0,0.0,D/3H,
