PCode,Name,Team,Season,VS LEFTY_AVG,VS LEFTY_AB,VS LEFTY_H,VS LEFTY_2B,VS LEFTY_3B,VS LEFTY_HR,VS LEFTY_RBI,VS LEFTY_BB,VS LEFTY_HBP,VS LEFTY_SO,VS LEFTY_GIDP,VS RIGHTY_AVG,VS RIGHTY_AB,VS RIGHTY_H,VS RIGHTY_2B,VS RIGHTY_3B,VS RIGHTY_HR,VS RIGHTY_RBI,VS RIGHTY_BB,VS RIGHTY_HBP,VS RIGHTY_SO,VS RIGHTY_GIDP
78135,Lee Hyung-jong,Kiwoom,2026,0.304,46,14,3,0,3,12,5,1,14,1,0.171,105,18,3,0,2,6,16,2,38,3
50167,Lee Ju-hyoung,Kiwoom,2026,0.12,25,3,2,0,0,5,0,1,6,0,0.311,61,19,7,1,2,7,5,2,14,0
64346,Lim Byeong-wuk,Kiwoom,2026,0.246,65,16,4,0,1,8,2,4,25,0,0.255,161,41,9,0,8,22,11,2,53,2
52348,Park Chan-hyeok,Kiwoom,2026,0.386,57,22,0,0,4,12,10,1,14,1,0.171,181,31,6,0,4,11,16,6,56,8
78168,Seo Geon-chang,Kiwoom,2026,0.312,93,29,4,0,0,7,8,3,12,4,0.316,247,78,9,4,3,24,33,5,25,3
53123,Austin Dean,LG,2026,0.411,112,46,8,0,9,29,16,0,11,2,0.322,326,105,21,3,27,83,47,9,56,6
66108,Hong Chang-ki,LG,2026,0.324,111,36,5,1,0,14,21,3,31,3,0.219,256,56,8,1,0,17,47,11,68,7
76290,Kim Hyun-soo,LG,2026,0.23,161,37,6,0,2,18,14,3,14,6,0.295,298,88,20,0,7,57,31,2,46,8
69102,Moon Bo-gyeong,LG,2026,0.23,74,17,3,0,0,13,5,0,18,1,0.266,222,59,9,0,8,40,47,1,49,6
68119,Moon Sung-Ju,LG,2026,0.293,41,12,2,0,0,4,3,0,5,0,0.285,158,45,7,0,1,17,17,3,22,4
79109,Oh Ji-hwan,LG,2026,0.194,67,13,1,0,0,7,14,3,20,1,0.224,250,56,12,0,7,41,21,2,59,5
79365,Park Dong-won,LG,2026,0.214,56,12,2,0,2,6,12,0,15,1,0.24,233,56,11,0,10,44,33,4,61,10
62415,Park Hae-min,LG,2026,0.352,105,37,2,0,1,15,14,2,12,1,0.262,286,75,11,1,3,34,31,9,42,5
65207,Shin Min-jae,LG,2026,0.207,87,18,1,1,0,6,15,2,19,1,0.281,242,68,4,0,0,16,25,1,32,5
69517,Go Seung-min,Lotte,2026,0.293,82,24,4,1,3,19,6,1,12,0,0.267,258,69,13,1,12,44,24,0,62,0
68525,Han Dong-hui,Lotte,2026,0.319,72,23,3,0,6,15,5,0,9,3,0.296,226,67,12,0,12,44,21,6,44,14
50500,Hwang Seong-bin,Lotte,2026,0.257,74,19,2,1,0,4,8,2,15,0,0.291,285,83,8,8,0,22,14,3,41,2
78513,Jeon Jun-woo,Lotte,2026,0.255,51,13,2,0,1,4,2,0,6,2,0.188,128,24,4,0,0,7,10,0,23,3
61102,Kang-nam Yoo,Lotte,2026,0.25,32,8,0,0,3,3,1,1,5,0,0.225,80,18,4,0,0,6,3,0,22,1
51551,Na Seung-yeup,Lotte,2026,0.25,68,17,5,0,1,12,13,0,14,3,0.287,209,60,11,0,5,30,25,0,34,5
62931,No Jin-hyuk,Lotte,2026,0.146,41,6,3,0,1,3,4,1,15,2,0.235,136,32,8,0,4,21,15,1,28,2
50150,Son Ho-young,Lotte,2026,0.196,56,11,3,0,1,3,3,0,14,0,0.214,103,22,7,0,3,13,10,3,24,3
54529,Víctor Reyes,Lotte,2026,0.364,129,47,6,1,3,24,7,0,9,5,0.347,329,114,24,1,11,63,34,2,47,5
52591,Yoon Dong-hee,Lotte,2026,0.22,50,11,2,0,3,5,10,0,15,1,0.238,185,44,10,0,2,19,21,4,52,3
69992,Choi Jeong-won,NC,2026,0.371,35,13,0,0,0,1,4,2,7,0,0.25,136,34,5,0,0,8,9,5,28,1
51907,Kim Ju-won,NC,2026,0.235,119,28,6,0,3,11,17,3,18,1,0.316,313,99,15,0,13,41,27,13,47,3
63963,Kwon Hui-dong,NC,2026,0.328,61,20,6,0,3,14,8,0,7,1,0.207,121,25,2,0,1,14,25,1,25,2
54944,Matthew Davidson,NC,2026,0.279,86,24,4,1,6,23,5,2,19,2,0.281,288,81,14,1,10,43,16,21,89,7
79215,Park Kun-woo,NC,2026,0.333,93,31,6,0,4,19,8,0,15,3,0.277,264,73,10,0,13,45,39,2,50,6
62907,Park Min-woo,NC,2026,0.36,100,36,5,0,2,14,20,3,15,3,0.322,273,88,20,0,4,45,32,4,43,5
77532,Son Ah-seop,NC,2026,0.31,29,9,0,0,1,5,0,0,8,0,0.216,116,25,3,0,0,9,14,0,22,2
75847,Choi Jeong,SSG,2026,0.264,72,19,3,0,4,10,9,0,18,4,0.326,178,58,14,1,16,46,28,6,46,3
50854,Choi Ji-Hoon,SSG,2026,0.272,114,31,4,3,2,9,4,1,25,3,0.224,326,73,14,4,9,41,30,3,53,5
53827,Guillermo Heredia,SSG,2026,0.318,85,27,6,0,3,25,10,2,13,3,0.269,286,77,15,0,12,56,13,5,52,6
62895,Han Yoo-seom,SSG,2026,0.348,23,8,0,0,0,3,5,0,2,0,0.194,129,25,2,0,2,10,20,3,37,9
54812,Jeong Jun-jae,SSG,2026,0.198,96,19,1,2,0,5,8,2,19,2,0.29,331,96,12,5,1,33,39,3,54,1
